,id,release_date,revenue,genres,vote_count,runtime,budget,vote_average,release_month,release_year
0,862,1995-10-30,373554033.0,Animation Comedy Family,5415.0,81.0,30000000,7.7,10,1995
1,8844,1995-12-15,262797249.0,Adventure Fantasy Family,2413.0,104.0,65000000,6.9,12,1995
3,31357,1995-12-22,81452156.0,Comedy Drama Romance,34.0,127.0,16000000,6.1,12,1995
4,11862,1995-02-10,76578911.0,Comedy,173.0,106.0,0,5.7,2,1995
5,949,1995-12-15,187436818.0,Action Crime Drama Thriller,1886.0,170.0,60000000,7.7,12,1995
8,9091,1995-12-22,64350171.0,Action Adventure Thriller,174.0,106.0,35000000,5.5,12,1995
9,710,1995-11-16,352194034.0,Adventure Action Thriller,1194.0,130.0,58000000,6.6,11,1995
10,9087,1995-11-17,107879496.0,Comedy Drama Romance,199.0,106.0,62000000,6.5,11,1995
12,21032,1995-12-22,11348324.0,Family Animation Adventure,423.0,78.0,0,7.1,12,1995
13,10858,1995-12-22,13681765.0,History Drama,72.0,192.0,44000000,7.1,12,1995
14,1408,1995-12-22,10017322.0,Action Adventure,137.0,119.0,98000000,5.7,12,1995
15,524,1995-11-22,116112375.0,Drama Crime,1343.0,178.0,52000000,7.8,11,1995
16,4584,1995-12-13,135000000.0,Drama Romance,364.0,136.0,16500000,7.2,12,1995
17,5,1995-12-09,4300000.0,Crime Comedy,539.0,98.0,4000000,6.5,12,1995
18,9273,1995-11-10,212385533.0,Crime Comedy Adventure,1128.0,90.0,30000000,6.1,11,1995
19,11517,1995-11-21,35431113.0,Action Comedy Crime,224.0,103.0,60000000,5.4,11,1995
20,8012,1995-10-20,115101622.0,Comedy Thriller Crime,305.0,105.0,30250000,6.4,10,1995
22,9691,1995-10-06,30303072.0,Action Adventure Crime Thriller,394.0,132.0,50000000,6.0,10,1995
24,451,1995-10-27,49800000.0,Drama Romance,365.0,112.0,3600000,7.1,10,1995
26,9263,1995-10-20,27400000.0,Comedy Drama Family,91.0,100.0,12000000,6.6,10,1995
28,902,1995-05-16,1738611.0,Fantasy Science Fiction Adventure,308.0,108.0,18000000,7.6,5,1995
30,9909,1995-08-11,180000000.0,Drama Crime,249.0,99.0,0,6.4,8,1995
31,63,1995-12-29,168840000.0,Science Fiction Thriller Mystery,2470.0,129.0,29500000,7.4,12,1995
33,9598,1995-07-18,254134910.0,Fantasy Drama Comedy Family,756.0,89.0,30000000,6.0,7,1995
35,687,1995-12-29,39363635.0,Drama,350.0,122.0,11000000,7.3,12,1995
39,34615,1995-12-15,676525.0,Drama,13.0,106.0,0,6.7,12,1995
43,9312,1995-08-18,122195920.0,Action Fantasy,452.0,101.0,18000000,5.4,8,1995
44,577,1995-05-20,21284514.0,Fantasy Drama Comedy Thriller,177.0,106.0,20000000,6.7,5,1995
45,11861,1995-10-06,23574130.0,Drama Romance,38.0,116.0,10000000,6.5,10,1995
46,807,1995-09-22,327311859.0,Crime Mystery Thriller,5915.0,127.0,33000000,8.1,9,1995
