id,original_title,genres,budget,revenue,vote_average,vote_count
862,toy story,"['Animation', 'Comedy', 'Family']",30000000.0,373554033.0,7.7,5415.0
8844,jumanji,"['Adventure', 'Fantasy', 'Family']",65000000.0,262797249.0,6.9,2413.0
31357,waiting to exhale,"['Comedy', 'Drama', 'Romance']",16000000.0,81452156.0,6.1,34.0
949,heat,"['Action', 'Crime', 'Drama', 'Thriller']",60000000.0,187436818.0,7.7,1886.0
9091,sudden death,"['Action', 'Adventure', 'Thriller']",35000000.0,64350171.0,5.5,174.0
710,goldeneye,"['Adventure', 'Action', 'Thriller']",58000000.0,352194034.0,6.6,1194.0
9087,the american president,"['Comedy', 'Drama', 'Romance']",62000000.0,107879496.0,6.5,199.0
10858,nixon,"['History', 'Drama']",44000000.0,13681765.0,7.1,72.0
1408,cutthroat island,"['Action', 'Adventure']",98000000.0,10017322.0,5.7,137.0
524,casino,"['Drama', 'Crime']",52000000.0,116112375.0,7.8,1343.0
4584,sense and sensibility,"['Drama', 'Romance']",16500000.0,135000000.0,7.2,364.0
5,four rooms,"['Crime', 'Comedy']",4000000.0,4300000.0,6.5,539.0
9273,ace ventura when nature calls,"['Crime', 'Comedy', 'Adventure']",30000000.0,212385533.0,6.1,1128.0
11517,money train,"['Action', 'Comedy', 'Crime']",60000000.0,35431113.0,5.4,224.0
8012,get shorty,"['Comedy', 'Thriller', 'Crime']",30250000.0,115101622.0,6.4,305.0
9691,assassins,"['Action', 'Adventure', 'Crime', 'Thriller']",50000000.0,30303072.0,6.0,394.0
451,leaving las vegas,"['Drama', 'Romance']",3600000.0,49800000.0,7.1,365.0
9263,now and then,"['Comedy', 'Drama', 'Family']",12000000.0,27400000.0,6.6,91.0
902,la cité des enfants perdus,"['Fantasy', 'Science Fiction', 'Adventure']",18000000.0,1738611.0,7.6,308.0
63,twelve monkeys,"['Science Fiction', 'Thriller', 'Mystery']",29500000.0,168840000.0,7.4,2470.0
9598,babe,"['Fantasy', 'Drama', 'Comedy', 'Family']",30000000.0,254134910.0,6.0,756.0
687,dead man walking,['Drama'],11000000.0,39363635.0,7.3,350.0
9312,mortal kombat,"['Action', 'Fantasy']",18000000.0,122195920.0,5.4,452.0
577,to die for,"['Fantasy', 'Drama', 'Comedy', 'Thriller']",20000000.0,21284514.0,6.7,177.0
11861,how to make an american quilt,"['Drama', 'Romance']",10000000.0,23574130.0,6.5,38.0
807,se7en,"['Crime', 'Mystery', 'Thriller']",33000000.0,327311859.0,8.1,5915.0
10530,pocahontas,"['Adventure', 'Animation', 'Drama', 'Family']",55000000.0,346079773.0,6.7,1509.0
629,the usual suspects,"['Drama', 'Crime', 'Thriller']",6000000.0,23341568.0,8.1,3334.0
11448,mighty aphrodite,"['Comedy', 'Romance']",15000000.0,6700000.0,6.7,145.0
10634,friday,['Comedy'],3500000.0,28215918.0,7.0,513.0
755,from dusk till dawn,"['Horror', 'Action', 'Thriller', 'Crime']",19000000.0,25836616.0,6.9,1644.0
11859,fair game,"['Action', 'Thriller', 'Romance']",50000000.0,11534477.0,4.1,54.0
36929,big bully,"['Comedy', 'Family']",15000000.0,2042530.0,3.9,16.0
9102,screamers,"['Horror', 'Science Fiction']",20000000.0,5781885.0,6.1,154.0
400,things to do in denver when youre dead,"['Drama', 'Crime']",8000000.0,529766.0,6.7,87.0
10534,white squall,"['Action', 'Drama']",38000000.0,10300000.0,6.3,86.0
2086,nick of time,"['Crime', 'Drama', 'Thriller']",8169363.0,8175346.0,6.1,190.0
9095,mary reilly,"['Drama', 'Horror', 'Thriller', 'Romance']",47000000.0,12379402.0,5.7,77.0
12158,vampire in brooklyn,"['Comedy', 'Horror', 'Romance']",14000000.0,19800000.0,4.5,113.0
9208,broken arrow,"['Action', 'Adventure', 'Drama', 'Thriller']",50000000.0,150270147.0,5.7,459.0
13685,bottle rocket,"['Comedy', 'Crime', 'Drama']",7000000.0,560069.0,6.8,285.0
9614,happy gilmore,['Comedy'],12000000.0,41205099.0,6.5,767.0
688,the bridges of madison county,"['Drama', 'Romance']",24000000.0,182016617.0,7.3,397.0
197,braveheart,"['Action', 'Drama', 'History', 'War']",72000000.0,210000000.0,7.7,3404.0
103,taxi driver,"['Crime', 'Drama']",1300000.0,28262574.0,8.1,2632.0
33542,紅番區,"['Crime', 'Action', 'Comedy', 'Thriller']",7500000.0,32392047.0,6.5,245.0
78406,steal big steal little,"['Comedy', 'Drama']",25000000.0,6278139.0,5.1,7.0
11066,boomerang,"['Comedy', 'Romance']",40000000.0,70100000.0,5.4,139.0
2074,flirting with disaster,"['Comedy', 'Romance']",7000000.0,14702438.0,6.3,66.0
11863,jade,"['Action', 'Thriller', 'Mystery', 'Romance']",50000000.0,9851610.0,5.1,45.0
11000,the birdcage,['Comedy'],31000000.0,185260553.0,6.7,303.0
9737,bad boys,"['Action', 'Comedy', 'Crime', 'Thriller']",19000000.0,141407024.0,6.5,1729.0
22279,an awfully big adventure,"['Romance', 'Drama', 'Comedy']",4000000.0,851545.0,6.0,11.0
568,apollo 13,['Drama'],52000000.0,355237933.0,7.3,1637.0
11780,rob roy,['Adventure'],28000000.0,31596911.0,6.5,151.0
414,batman forever,"['Action', 'Crime', 'Fantasy']",100000000.0,336529144.0,5.2,1529.0
5894,blue in the face,['Comedy'],2000000.0,1275000.0,6.8,28.0
1775,canadian bacon,"['Action', 'Comedy']",11000000.0,178104.0,5.9,57.0
8839,casper,"['Fantasy', 'Comedy', 'Family']",50000000.0,287928194.0,6.0,1045.0
20649,clockers,"['Mystery', 'Crime', 'Drama']",25000000.0,13071518.0,6.8,69.0
10329,congo,"['Action', 'Adventure', 'Drama', 'Mystery', 'Science Fiction', 'Thriller']",50000000.0,152022101.0,5.0,214.0
8963,crimson tide,"['Action', 'Thriller', 'Drama']",53000000.0,157387195.0,7.0,508.0
8068,desperado,"['Thriller', 'Action', 'Crime']",7000000.0,25405445.0,6.8,898.0
8512,devil in a blue dress,"['Drama', 'Mystery', 'Thriller']",27000000.0,16140822.0,6.3,88.0
1572,die hard with a vengeance,"['Action', 'Thriller']",90000000.0,366101666.0,6.9,2094.0
6520,first knight,"['Action', 'Adventure', 'Drama', 'Romance']",55000000.0,127600435.0,5.9,319.0
10428,hackers,"['Action', 'Crime', 'Thriller', 'Drama']",20000000.0,7563728.0,6.2,406.0
9886,johnny mnemonic,"['Adventure', 'Action', 'Drama', 'Science Fiction', 'Thriller']",25000000.0,19075720.0,5.5,380.0
9482,judge dredd,['Science Fiction'],90000000.0,113493481.0,5.4,643.0
9344,kids,"['Drama', 'Crime']",1500000.0,7412216.0,6.8,280.0
9071,living in oblivion,"['Drama', 'Comedy']",500000.0,1148752.0,7.2,64.0
2293,mallrats,"['Romance', 'Comedy']",6000000.0,2122561.0,6.8,400.0
9070,mighty morphin power rangers the movie,"['Action', 'Adventure', 'Science Fiction', 'Family', 'Fantasy']",15000000.0,66000000.0,5.2,153.0
48787,mute witness,"['Thriller', 'Foreign']",2.0,1.0,6.4,36.0
1642,the net,"['Crime', 'Drama', 'Mystery', 'Thriller', 'Action']",22000000.0,110627965.0,5.6,359.0
36196,party girl,['Comedy'],150000.0,472370.0,5.8,14.0
11980,the prophecy,"['Fantasy', 'Horror', 'Thriller']",8.0,16.0,6.4,139.0
10533,the scarlet letter,"['Drama', 'History', 'Romance']",50000000.0,10382407.0,5.5,111.0
10802,showgirls,['Drama'],45000000.0,20350754.0,4.9,261.0
10149,smoke,"['Comedy', 'Drama']",7000000.0,8349430.0,7.2,115.0
9348,species,"['Science Fiction', 'Horror', 'Action']",35000000.0,113374103.0,5.5,457.0
281,strange days,"['Crime', 'Drama', 'Science Fiction', 'Thriller']",42000000.0,7959291.0,6.8,334.0
79593,the tie that binds,['Thriller'],14000000.0,5780000.0,4.6,9.0
3512,under siege 2 dark territory,"['Action', 'Thriller']",60000000.0,104324083.0,5.6,217.0
9560,a walk in the clouds,"['Drama', 'Romance']",20000000.0,50012507.0,6.5,168.0
9804,waterworld,"['Adventure', 'Action']",175000000.0,264218220.0,5.9,1017.0
50797,утомлённые солнцем,['Drama'],2800000.0,2616503.0,6.7,35.0
